合成ID,卡牌名稱,費用,稀有度,合成需求,金幣成本,效果描述,效果數值,總價值,性價比,備註
recipe_flame_slash,火焰斬擊,2,UNCOMMON,火元素×1 + 近戰×1,50,火焰傷害,12,12,偏低,"2費基準10,略高但合成有成本"
recipe_fire_arrow_rain,火焰箭雨,2,UNCOMMON,火元素×2 + 遠程×1,75,對所有敵人火焰傷害,6 (AOE),18+,高,"AOE價值高,2個火元素投入"
recipe_ice_snipe,寒冰狙擊,3,UNCOMMON,冰元素×1 + 遠程×1,50,冰霜傷害+緩速,14傷+緩速2回合,16+,中,"3費基準15,緩速加成"
recipe_ice_wall,冰牆,2,UNCOMMON,冰元素×1 + 防禦×1,50,護甲(保留),10,14+,高,保留效果價值高
recipe_inferno,烈焰法術,3,UNCOMMON,火元素×2,100,傷害+DOT,"8 + 4×3回合 = 20總傷",20,中,"需2火元素,高總傷但分期"
recipe_deep_freeze,極寒法術,3,UNCOMMON,冰元素×2,100,傷害+強緩速,6傷+緩速3回合,12+,中,控制效果強
recipe_steam_burst,蒸氣爆發,3,RARE,火元素×1 + 冰元素×1,125,AOE混合傷害,10 (所有敵人),30+,高,"火冰混合,稀有卡"
recipe_deadly_slash,致命斬,2,UNCOMMON,斬擊卡×1 + 修飾零件×1,60,物理傷害,16,16,高,"需整張斬擊卡,高效"
recipe_precision_shot,精準射擊,2,UNCOMMON,射擊卡×1 + 強化零件×1,60,遠程傷害,12,12,中,需整張射擊卡
recipe_regenerating_armor,回復護甲,2,UNCOMMON,防禦零件×1 + 治療零件×1,80,護甲+治療,6護甲+5治療,13+,中,雙效果實用
